DATE,PCC_SITENAME,PCC_AUDIENCE,PCC_UNIT_TYPE,PCC_PLATFORM_DEVICE,CREATIVE_NAME,CREATIVE_TYPE,CREATIVE_PLACEMENT,CAMPAIGN_GROUP,HEADLINE,BODY,COST,CLICKS,IMPRESSIONS,ENGAGEMENTS,LIKES,SHARES,LEADS,FOLLOWS,COMMENTS,REACTIONS,LANDING_PAGE_CLICKS
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,56,0,0,0,0,0,0,0,0
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,82,0,0,0,0,0,0,0,0
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,174,0,0,0,5,0,5,0,0
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,6835,0,0,0,0,0,0,0,0
2022-05-28,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,326,0,0,0,0,0,0,0,0
2022-05-28,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,220,0,0,0,0,0,0,0,0
2022-05-28,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,301,0,0,0,0,0,0,0,0
2022-05-28,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,5783,0,0,0,0,0,0,0,0
2022-05-13,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,1,0,0,0,0,0,0,0
2022-05-13,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,111.51,7,0,9,0,0,0,0,0,0,7
2022-05-13,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,7,11,0,28,1,0,0,0,0,1,11
2022-05-14,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-14,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0
2022-05-14,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-14,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,1,1,0,0,0,0,1,0
2022-05-14,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,49.54,3,0,4,0,0,0,0,0,0,3
2022-05-14,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,7,13,0,7,3,0,0,0,0,3,13
2022-05-17,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-17,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,9.5886,1,0,2,1,0,0,0,0,1,1
2022-05-17,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,353.54,34,0,56,0,0,0,0,0,0,34
2022-05-17,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,658.7214,61,0,110,9,0,0,0,0,9,61
2022-05-19,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,1,1,0,0,0,0,1,0
2022-05-19,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,9.2872,1,0,2,1,0,0,0,0,1,1
2022-05-19,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,52.4782,3,0,5,1,0,0,0,0,1,3
2022-05-19,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,103.9365,5,0,11,0,0,0,0,0,0,5
2022-05-19,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,278.8318,18,0,31,1,0,0,0,0,1,18
2022-05-19,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,464.9863,30,0,69,4,0,0,0,0,4,30
2022-05-16,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0
2022-05-16,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,369.99,20,0,24,0,0,0,0,0,0,20
2022-05-16,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,675.45,43,0,87,6,0,0,0,0,6,43
2022-05-25,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0
2022-05-25,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0
2022-05-25,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,24.7733,2,0,8,0,0,0,0,0,0,2
2022-05-25,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,55.9646,3,0,3,0,0,0,0,0,0,3
2022-05-25,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,87.8254,6,0,6,0,0,0,0,0,0,6
2022-05-25,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,396.1567,30,0,70,5,0,0,0,0,5,30
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,0,0,0,0,0,0,0,0,0,0,0
2022-05-30,LINKEDIN,Native,Banner,Cross Device,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen RRQ,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,9.6035,1,0,2,0,0,0,0,0,0,1
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,41.6907,3,0,5,0,0,0,0,0,0,3
2022-05-30,LINKEDIN,Native,Banner,Cross Device,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen RRQ,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,190.9165,11,0,16,0,0,0,0,0,0,11
2022-05-30,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen RRQ,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,490.8393,32,0,68,0,0,0,0,0,0,32
2022-05-18,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,1,0,0,0,0,0,0,0
2022-05-18,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,5.7332,1,0,1,0,0,0,0,0,0,1
2022-05-18,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,38.6339,2,0,2,0,0,0,0,0,0,2
2022-05-18,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,147.9029,9,0,15,1,0,0,0,0,1,9
2022-05-18,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,179.1871,11,0,19,1,0,0,0,0,1,11
2022-05-18,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,648.6829,49,0,110,7,0,0,0,0,7,49
2022-05-21,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,0,0,0,0,0,0,0,0
2022-05-21,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,10.8072,1,0,3,1,0,0,0,0,1,1
2022-05-21,LINKEDIN,Native,Banner,Desktop,Native_Native_Freedom_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,25.0328,2,0,3,0,0,0,0,0,0,2
2022-05-21,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_25_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,32.6396,2,0,8,0,0,0,0,0,0,2
2022-05-21,LINKEDIN,Native,Banner,Desktop,Native_Native_Retirement_Lifestyle_Static_1201x629_Learn More_Lead Gen V2,Sponsored Status Update, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,159.6472,12,0,19,0,0,0,0,0,0,12
2022-05-21,LINKEDIN,Native,Video,Cross Device,Native_Native_Retirement_Lifestyle_Video_12_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Do You Have Enough Saved to Retire?,87% of Americans fear a lack of income in retirement. Find out if you'll be ready to retire.,296.6832,24,0,49,2,0,0,0,0,2,24
2022-05-24,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_11_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,Find your freedom.,You define freedom. We’ll design the path to help get you there. Get matched with a financial advisor.,0,0,0,1,1,0,0,0,0,1,0
2022-05-24,LINKEDIN,Native,Video,Cross Device,Native_Native_Freedom_Lifestyle_Video_15_Learn More_Lead Gen V2,Sponsored Video, Sponsored Content Ads,Lead Gen ,You define freedom. We’ll design the path to help get you there.,What’s freedom mean to you? Find your freedom.,0,0,0,0,0,0,0,0,0,0,0
